time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
30,3,2,-85.96756816188318,model013,model013
30,3,15,-78.51885033902283,model013,model013
30,7,20,-72.53332587229909,model013,model013
30,9,11,-82.47758335338858,model013,model013
30,11,9,-82.47758335338858,model013,model013
35,2,6,-87.3660969664308,model013,model013
35,4,12,-82.87510385130781,model013,model013
35,4,27,-81.81512372305329,model013,model013
35,6,2,-87.3660969664308,model013,model013
35,8,14,-86.49207981266339,model013,model013
35,12,4,-82.87510385130781,model013,model013
35,12,27,-85.24551323050935,model013,model013
35,15,3,-81.01260053741719,model013,model013
35,20,7,-85.96952400308763,model013,model013
35,21,28,-82.65569525368117,model013,model013
35,27,4,-81.81512372305329,model013,model013
35,27,12,-85.24551323050935,model013,model013
35,28,21,-82.65569525368117,model013,model013
35,3,15,-81.01260053741719,model013,model013
35,7,20,-85.96952400308763,model013,model013
35,9,11,-78.39427776631057,model013,model013
35,11,9,-78.39427776631057,model013,model013
35,14,8,-86.49207981266339,model013,model013
40,4,12,-83.85241468350654,model013,model013
40,4,27,-82.67636950842531,model013,model013
40,12,4,-83.85241468350654,model013,model013
40,12,27,-84.79499504405489,model013,model013
40,13,1,-86.1731137346163,model013,model013
40,15,3,-82.9610052931328,model013,model013
40,21,28,-84.26488734162642,model013,model013
40,27,4,-82.67636950842531,model013,model013
40,27,12,-84.79499504405489,model013,model013
40,28,21,-84.26488734162642,model013,model013
40,1,13,-86.1731137346163,model013,model013
40,3,15,-82.9610052931328,model013,model013
40,9,11,-82.11070961169295,model013,model013
40,11,9,-82.11070961169295,model013,model013
45,4,12,-85.13594418590836,model013,model013
45,4,27,-83.46059883092965,model013,model013
45,12,4,-85.13594418590836,model013,model013
45,12,27,-84.55276358100267,model013,model013
45,13,1,-81.16577501079439,model013,model013
45,14,12,-86.39917480632256,model013,model013
45,15,3,-84.55690864415624,model013,model013
45,21,23,-86.80237568732596,model013,model013
45,21,28,-85.6763762538142,model013,model013
45,23,21,-86.80237568732596,model013,model013
45,27,4,-83.46059883092965,model013,model013
45,27,12,-84.55276358100267,model013,model013
45,28,21,-85.6763762538142,model013,model013
45,1,13,-81.16577501079439,model013,model013
45,3,15,-84.55690864415624,model013,model013
45,4,16,-71.69695213374904,model013,model013
45,4,17,-84.9948499808128,model013,model013
45,9,11,-86.60277866934689,model013,model013
45,11,9,-86.60277866934689,model013,model013
45,12,14,-86.39917480632256,model013,model013
45,16,4,-71.69695213374904,model013,model013
45,16,17,-83.020817090178,model013,model013
45,17,4,-84.9948499808128,model013,model013
45,17,16,-83.020817090178,model013,model013
50,1,13,-86.11324633139239,model013,model013
50,4,12,-86.47706550850725,model013,model013
50,4,27,-84.18035939695814,model013,model013
50,12,4,-86.47706550850725,model013,model013
50,12,27,-84.55647862186692,model013,model013
50,13,1,-86.11324633139239,model013,model013
50,13,1,-75.09380581696998,model013,model013
50,14,12,-79.98996480910289,model013,model013
50,15,3,-85.90727396403656,model013,model013
50,21,23,-72.31597644745398,model013,model013
50,21,28,-86.91894016131292,model013,model013
50,23,21,-72.31597644745398,model013,model013
50,23,28,-86.76687652398607,model013,model013
50,27,4,-84.18035939695814,model013,model013
50,27,12,-84.55647862186692,model013,model013
50,28,21,-86.91894016131292,model013,model013
50,28,23,-86.76687652398607,model013,model013
50,1,13,-75.09380581696998,model013,model013
50,3,15,-85.90727396403656,model013,model013
50,4,16,-85.03061944237054,model013,model013
50,4,17,-83.3555991186575,model013,model013
50,4,20,-83.07469540068846,model013,model013
50,12,14,-79.98996480910289,model013,model013
50,16,4,-85.03061944237054,model013,model013
50,17,4,-83.3555991186575,model013,model013
50,17,20,-58.92516934063481,model013,model013
50,20,4,-83.07469540068846,model013,model013
50,20,17,-58.92516934063481,model013,model013
55,1,13,-84.19981708995172,model013,model013
55,4,27,-84.8453827416061,model013,model013
55,12,27,-84.80552728414217,model013,model013
